0.0	1	1.466	0.315	-0.0250
0.0	2	1.303	0.251	0.0250
1.0	1	3.638	0.406	-0.0250
1.0	1	3.590	0.381	0.0250
1.0	2	2.747	0.333	-0.0250
1.0	2	2.673	0.329	0.0250
2.0	1	3.165	0.409	-0.0250
2.0	1	2.954	0.344	0.0250
2.0	2	2.683	0.329	-0.0250
2.0	2	2.509	0.320	0.0250
3.0	1	2.640	0.378	-0.0250
3.0	1	2.878	0.340	0.0250
3.0	2	3.150	0.356	0.0000
